rider_id,age,ratings,restaurant_lat,restaurant_long,delivery_lat,delivery_long,weather,traffic,vehicle_condition,order_type,vehicle_type,multiple_deliveries,festival,city_type,time,city_name,distance_km,day,month,day_of_week,is_weekend,pickup_time,order_time_hour,time_of_day
CHENRES19DEL02 ,33.0,4.3,12.986047,80.218114,13.116047,80.348114,windy,jam,1,meal,scooter,1.0,no,metropolitian,39.0,CHEN,20.18,27,3,Sunday,1,15.0,19.0,evening
MUMRES02DEL01 ,25.0,4.0,19.221315,72.862381,19.261315,72.902381,cloudy,high,2,buffet,motorcycle,1.0,no,metropolitian,34.0,MUM,6.12,26,3,Saturday,1,5.0,12.0,morning
CHENRES01DEL01 ,29.0,4.5,13.005801,80.250744,13.115801,80.360744,sunny,medium,1,meal,electric_scooter,1.0,no,metropolitian,15.0,CHEN,17.08,27,3,Sunday,1,15.0,18.0,evening
JAPRES16DEL03 ,27.0,5.0,26.849596,75.800512,26.879596,75.830512,stormy,jam,3,snack,motorcycle,0.0,no,urban,18.0,JAP,4.47,4,5,Wednesday,0,5.0,20.0,evening
SURRES15DEL03 ,35.0,4.3,21.160522,72.771477,21.250522,72.861477,cloudy,low,2,drinks,scooter,0.0,no,metropolitian,38.0,SUR,13.68,3,12,Saturday,1,10.0,23.0,night
BANGRES09DEL03 ,32.0,4.0,12.934179,77.615797,13.024179,77.705797,windy,jam,3,buffet,motorcycle,1.0,no,metropolitian,47.0,BANG,13.97,16,3,Wednesday,0,15.0,21.0,evening
PUNERES04DEL01 ,23.0,4.8,18.51421,73.838429,18.62421,73.948429,windy,low,1,buffet,electric_scooter,0.0,no,urban,12.0,PUNE,16.85,4,2,Friday,0,10.0,23.0,night
COIMBRES02DEL03 ,31.0,4.8,11.022477,76.995667,11.052477,77.025667,sandstorms,low,1,drinks,motorcycle,1.0,no,metropolitian,26.0,COIMB,4.67,4,1,Tuesday,0,15.0,22.0,night
SURRES16DEL02 ,36.0,4.1,21.160437,72.774209,21.210437,72.824209,stormy,low,3,drinks,motorcycle,1.0,no,urban,22.0,SUR,7.6,3,5,Tuesday,0,5.0,22.0,night
GOARES15DEL02 ,26.0,4.3,15.51315,73.78346,15.56315,73.83346,sandstorms,low,3,buffet,motorcycle,0.0,no,urban,21.0,GOA,7.72,2,11,Wednesday,0,10.0,23.0,night
GOARES07DEL01 ,38.0,4.9,15.561295,73.749478,15.601295,73.789478,cloudy,high,2,drinks,scooter,1.0,no,urban,25.0,GOA,6.18,2,11,Wednesday,0,5.0,13.0,afternoon
RANCHIRES02DEL01 ,32.0,3.5,,,,,stormy,jam,2,snack,scooter,0.0,no,urban,35.0,RANCHI,,3,8,Wednesday,0,10.0,21.0,evening
PUNERES19DEL02 ,32.0,4.6,18.563934,73.915367,18.693935,74.045367,cloudy,low,1,drinks,scooter,1.0,no,metropolitian,30.0,PUNE,19.91,4,2,Friday,0,10.0,22.0,night
PUNERES02DEL01 ,33.0,4.9,18.55144,73.804855,18.62144,73.874855,sunny,medium,2,snack,motorcycle,1.0,no,metropolitian,22.0,PUNE,10.72,3,8,Wednesday,0,15.0,18.0,evening
PUNERES18DEL01 ,20.0,4.7,18.593481,73.785901,18.633481,73.825901,windy,high,2,snack,scooter,0.0,no,urban,10.0,PUNE,6.13,4,3,Friday,0,10.0,14.0,afternoon
SURRES08DEL01 ,20.0,4.8,21.173343,72.792731,21.183343,72.802731,sandstorms,low,1,meal,scooter,1.0,no,metropolitian,19.0,SUR,1.52,30,3,Wednesday,0,10.0,11.0,morning
HYDRES17DEL02 ,35.0,5.0,17.451976,78.385883,17.471976,78.405883,sunny,low,1,snack,scooter,1.0,no,urban,11.0,HYD,3.07,4,1,Tuesday,0,10.0,9.0,morning
BANGRES17DEL02 ,26.0,4.9,12.972532,77.608179,12.992532,77.628179,stormy,low,1,buffet,scooter,0.0,no,metropolitian,11.0,BANG,3.11,28,3,Monday,0,15.0,8.0,morning
BANGRES17DEL01 ,22.0,4.8,12.972532,77.608179,13.042532,77.678179,fog,low,2,snack,motorcycle,1.0,no,metropolitian,28.0,BANG,10.87,18,3,Friday,0,10.0,23.0,night
CHENRES11DEL01 ,35.0,4.3,13.064181,80.236442,13.134181,80.306442,cloudy,medium,2,snack,motorcycle,1.0,no,metropolitian,33.0,CHEN,10.87,14,3,Monday,0,5.0,17.0,afternoon
MUMRES17DEL02 ,,,19.121999,72.908493,19.201999,72.988493,cloudy,medium,2,drinks,scooter,1.0,no,metropolitian,33.0,MUM,12.24,4,6,Saturday,1,,,
SURRES17DEL03 ,37.0,4.7,21.149569,72.772697,21.239569,72.862697,sandstorms,jam,3,snack,motorcycle,3.0,no,metropolitian,52.0,SUR,13.68,4,4,Monday,0,5.0,19.0,evening
MUMRES07DEL01 ,28.0,4.6,19.091458,72.827808,19.201458,72.937808,stormy,jam,2,snack,scooter,1.0,no,metropolitian,22.0,MUM,16.83,3,8,Wednesday,0,15.0,19.0,evening
KOLRES16DEL02 ,37.0,4.9,22.539129,88.365507,22.559129,88.385507,fog,low,2,snack,scooter,1.0,no,urban,16.0,KOL,3.03,13,2,Sunday,1,5.0,10.0,morning
MUMRES02DEL03 ,23.0,4.9,19.221315,72.862381,19.281315,72.922381,sunny,jam,1,drinks,electric_scooter,0.0,no,metropolitian,11.0,MUM,9.18,24,3,Thursday,0,5.0,21.0,evening
BANGRES05DEL03 ,27.0,4.9,12.970324,77.645748,13.030324,77.705748,windy,medium,2,drinks,scooter,1.0,no,metropolitian,25.0,BANG,9.32,19,3,Saturday,1,15.0,19.0,evening
CHENRES11DEL01 ,37.0,4.8,13.064181,80.236442,13.104181,80.276442,cloudy,medium,3,drinks,motorcycle,1.0,no,urban,26.0,CHEN,6.21,3,9,Saturday,1,10.0,16.0,afternoon
SURRES09DEL01 ,33.0,5.0,21.175975,72.795503,21.185975,72.805503,sunny,high,1,snack,scooter,1.0,no,metropolitian,18.0,SUR,1.52,19,3,Saturday,1,10.0,11.0,morning
RANCHIRES15DEL01 ,31.0,4.9,23.369746,85.33982,23.409746,85.37982,fog,medium,2,snack,motorcycle,1.0,no,metropolitian,16.0,RANCHI,6.04,4,3,Friday,0,5.0,15.0,afternoon
BANGRES19DEL01 ,31.0,4.8,12.914264,77.6784,13.024264,77.7884,stormy,low,1,drinks,scooter,1.0,no,metropolitian,23.0,BANG,17.08,25,3,Friday,0,10.0,22.0,night
AURGRES20DEL03 ,25.0,5.0,,,,,cloudy,low,3,snack,motorcycle,0.0,no,metropolitian,15.0,AURG,,13,2,Sunday,1,15.0,22.0,night
COIMBRES14DEL02 ,28.0,4.8,11.003681,76.975525,11.083681,77.055525,sandstorms,jam,3,drinks,motorcycle,1.0,no,metropolitian,36.0,COIMB,12.46,4,4,Monday,0,10.0,20.0,evening
SURRES08DEL03 ,31.0,4.7,21.173343,72.792731,21.233343,72.852731,cloudy,low,1,snack,motorcycle,0.0,no,metropolitian,16.0,SUR,9.12,26,3,Saturday,1,15.0,22.0,night
COIMBRES07DEL03 ,24.0,4.7,10.96185,76.971082,11.05185,77.061082,sunny,medium,3,buffet,motorcycle,0.0,no,urban,19.0,COIMB,14.02,3,10,Monday,0,5.0,17.0,afternoon
AGRRES12DEL03 ,39.0,4.6,27.165108,78.015053,27.255108,78.105053,sunny,low,2,snack,motorcycle,1.0,no,metropolitian,27.0,AGR,13.39,14,2,Monday,0,15.0,22.0,night
VADRES02DEL02 ,39.0,4.2,,,,,fog,jam,1,snack,scooter,1.0,no,semi-urban,49.0,VAD,,3,2,Thursday,0,15.0,20.0,evening
JAPRES14DEL01 ,32.0,4.5,26.88842,75.800689,26.89842,75.810689,windy,low,1,buffet,scooter,0.0,no,,20.0,JAP,1.49,26,3,Saturday,1,15.0,9.0,morning
VADRES04DEL03 ,36.0,4.7,,,,,cloudy,jam,2,snack,motorcycle,1.0,no,metropolitian,30.0,VAD,,13,3,Sunday,1,5.0,20.0,evening
JAPRES18DEL02 ,25.0,4.8,26.913987,75.752891,26.993987,75.832891,sandstorms,low,2,drinks,scooter,0.0,no,urban,18.0,JAP,11.92,29,3,Tuesday,0,10.0,22.0,night
MYSRES04DEL03 ,33.0,4.9,12.3085,76.665808,12.3385,76.695808,sunny,jam,1,drinks,scooter,0.0,no,metropolitian,22.0,MYS,4.66,30,3,Wednesday,0,5.0,21.0,evening
SURRES12DEL01 ,30.0,4.4,21.183434,72.814492,21.253434,72.884492,cloudy,low,1,drinks,scooter,1.0,no,metropolitian,34.0,SUR,10.64,3,12,Saturday,1,15.0,22.0,night
MUMRES04DEL01 ,33.0,5.0,19.254567,72.848923,19.364567,72.958923,sandstorms,low,3,buffet,motorcycle,0.0,no,urban,24.0,MUM,16.82,31,3,Thursday,0,5.0,23.0,night
PUNERES02DEL01 ,36.0,4.9,18.55144,73.804855,18.59144,73.844855,fog,medium,1,drinks,scooter,1.0,no,metropolitian,17.0,PUNE,6.13,17,3,Thursday,0,15.0,15.0,afternoon
ALHRES07DEL02 ,21.0,4.8,25.449659,81.839744,25.469659,81.859744,sandstorms,low,1,meal,electric_scooter,0.0,no,metropolitian,14.0,ALH,3.0,15,2,Tuesday,0,10.0,10.0,morning
DEHRES19DEL02 ,39.0,4.9,30.372202,78.077151,30.422202,78.127151,stormy,jam,1,meal,motorcycle,1.0,no,metropolitian,30.0,DEH,7.34,15,2,Tuesday,0,5.0,20.0,evening
VADRES16DEL02 ,23.0,4.8,,,,,stormy,low,2,meal,scooter,1.0,no,metropolitian,15.0,VAD,,3,7,Sunday,1,10.0,10.0,morning
VADRES09DEL01 ,35.0,4.8,,,,,fog,medium,1,buffet,scooter,1.0,no,urban,16.0,VAD,,28,3,Monday,0,10.0,15.0,afternoon
CHENRES12DEL03 ,39.0,4.6,12.972793,80.249982,13.062793,80.339982,cloudy,jam,2,snack,scooter,1.0,no,metropolitian,36.0,CHEN,13.97,16,3,Wednesday,0,5.0,20.0,evening
SURRES11DEL01 ,22.0,4.7,21.157735,72.768778,21.197735,72.808778,sunny,high,2,buffet,scooter,1.0,no,urban,18.0,SUR,6.08,17,3,Thursday,0,5.0,12.0,morning
SURRES01DEL01 ,32.0,4.6,21.186438,72.794115,21.226438,72.834115,fog,medium,2,meal,scooter,0.0,no,metropolitian,17.0,SUR,6.08,15,3,Tuesday,0,15.0,15.0,afternoon
VADRES15DEL02 ,24.0,4.8,,,,,sandstorms,low,2,buffet,motorcycle,1.0,no,urban,15.0,VAD,,25,3,Friday,0,5.0,22.0,night
MYSRES14DEL02 ,29.0,4.7,,,,,fog,low,3,buffet,motorcycle,1.0,no,metropolitian,17.0,MYS,,3,9,Saturday,1,10.0,10.0,morning
BANGRES13DEL01 ,,,12.935662,77.61413,12.975662,77.65413,,,2,drinks,scooter,0.0,no,metropolitian,19.0,BANG,6.21,3,11,Thursday,0,,,
HYDRES13DEL03 ,26.0,4.7,17.431477,78.40035,17.491477,78.46035,fog,low,2,buffet,motorcycle,0.0,no,metropolitian,10.0,HYD,9.22,3,5,Tuesday,0,15.0,23.0,night
BHPRES12DEL02 ,20.0,4.5,,,,,fog,jam,2,drinks,motorcycle,1.0,no,metropolitian,27.0,BHP,,2,11,Wednesday,0,15.0,21.0,evening
CHENRES11DEL03 ,35.0,4.1,13.064181,80.236442,13.154181,80.326442,sandstorms,jam,2,buffet,motorcycle,2.0,no,metropolitian,37.0,CHEN,13.97,3,12,Saturday,1,15.0,20.0,evening
BANGRES010DEL03 ,39.0,4.6,12.933298,77.614293,13.023298,77.704293,fog,jam,2,drinks,scooter,2.0,no,metropolitian,44.0,BANG,13.97,29,3,Tuesday,0,10.0,20.0,evening
VADRES20DEL01 ,34.0,4.7,22.311358,73.164798,22.351358,73.204798,windy,high,1,drinks,electric_scooter,1.0,no,metropolitian,28.0,VAD,6.06,19,3,Saturday,1,10.0,12.0,morning
BANGRES11DEL01 ,27.0,4.7,12.934365,77.616155,13.044365,77.726155,cloudy,jam,1,snack,scooter,1.0,no,metropolitian,42.0,BANG,17.08,3,10,Monday,0,15.0,21.0,evening
DEHRES01DEL01 ,30.0,4.8,,,,,windy,low,2,snack,motorcycle,1.0,no,metropolitian,25.0,DEH,,16,2,Wednesday,0,15.0,23.0,night
CHENRES02DEL01 ,25.0,4.4,13.086438,80.220672,13.196438,80.330672,cloudy,medium,1,snack,scooter,1.0,no,metropolitian,39.0,CHEN,17.07,27,3,Sunday,1,5.0,18.0,evening
MUMRES04DEL01 ,25.0,4.7,19.254567,72.848923,19.364567,72.958923,stormy,medium,3,meal,motorcycle,0.0,no,urban,20.0,MUM,16.82,27,3,Sunday,1,5.0,18.0,evening
JAPRES03DEL02 ,30.0,5.0,26.913483,75.803139,26.933483,75.823139,stormy,high,2,buffet,motorcycle,1.0,no,metropolitian,31.0,JAP,2.98,24,3,Thursday,0,5.0,11.0,morning
HYDRES04DEL03 ,24.0,4.6,17.411028,78.329645,17.471028,78.389645,stormy,jam,2,buffet,motorcycle,0.0,no,metropolitian,13.0,HYD,9.22,3,9,Saturday,1,10.0,20.0,evening
PUNERES14DEL02 ,39.0,4.8,18.516216,73.842527,18.566216,73.892527,stormy,jam,2,meal,motorcycle,,no,metropolitian,28.0,PUNE,7.66,3,3,Thursday,0,15.0,21.0,evening
GOARES04DEL01 ,25.0,4.8,15.5696,73.742294,15.6096,73.782294,windy,high,2,snack,scooter,1.0,no,urban,19.0,GOA,6.18,15,2,Tuesday,0,5.0,12.0,morning
AURGRES08DEL02 ,37.0,4.6,19.876428,75.364792,19.956428,75.444792,fog,low,3,buffet,motorcycle,2.0,yes,urban,42.0,AURG,12.21,18,2,Friday,0,15.0,23.0,night
BANGRES12DEL01 ,24.0,5.0,12.939496,77.625999,12.949496,77.635999,fog,low,3,drinks,motorcycle,1.0,no,metropolitian,23.0,BANG,1.55,3,1,Monday,0,5.0,10.0,morning
HYDRES05DEL01 ,25.0,4.2,17.433809,78.386744,17.543809,78.496744,stormy,jam,3,meal,motorcycle,1.0,no,metropolitian,39.0,HYD,16.9,23,3,Wednesday,0,15.0,21.0,evening
RANCHIRES17DEL01 ,32.0,4.6,23.374878,85.335739,23.384878,85.345739,stormy,low,1,drinks,motorcycle,1.0,no,metropolitian,25.0,RANCHI,1.51,4,1,Tuesday,0,10.0,10.0,morning
AGRRES010DEL01 ,34.0,4.7,27.163303,78.057044,27.233303,78.127044,sandstorms,low,2,drinks,scooter,0.0,no,metropolitian,15.0,AGR,10.42,16,2,Wednesday,0,5.0,23.0,night
INDORES12DEL02 ,38.0,4.9,22.74806,75.8934,22.76806,75.9134,cloudy,low,1,drinks,scooter,1.0,no,urban,15.0,INDO,3.03,3,11,Thursday,0,15.0,8.0,morning
JAPRES15DEL03 ,36.0,4.8,26.891191,75.802083,26.981191,75.892083,sunny,medium,1,buffet,electric_scooter,0.0,no,metropolitian,15.0,JAP,13.41,14,3,Monday,0,5.0,17.0,afternoon
SURRES16DEL01 ,25.0,5.0,21.160437,72.774209,21.270437,72.884209,stormy,jam,2,meal,motorcycle,,no,metropolitian,15.0,SUR,16.72,18,3,Friday,0,15.0,20.0,evening
MYSRES16DEL02 ,29.0,5.0,12.316967,76.603067,12.366967,76.653067,sunny,low,3,drinks,motorcycle,0.0,no,metropolitian,18.0,MYS,7.77,4,1,Tuesday,0,5.0,22.0,night
MUMRES05DEL03 ,36.0,4.7,18.927584,72.832585,19.017584,72.922585,sandstorms,low,1,drinks,electric_scooter,0.0,no,metropolitian,29.0,MUM,13.77,4,4,Monday,0,10.0,23.0,night
COIMBRES19DEL02 ,33.0,4.7,11.022298,76.998349,11.072298,77.048349,fog,low,3,snack,motorcycle,0.0,no,metropolitian,20.0,COIMB,7.79,3,11,Thursday,0,5.0,23.0,night
MYSRES07DEL01 ,36.0,4.4,12.325461,76.632278,12.365461,76.672278,cloudy,high,1,meal,scooter,1.0,no,metropolitian,39.0,MYS,6.22,13,3,Sunday,1,15.0,12.0,morning
PUNERES17DEL01 ,21.0,4.8,18.530963,73.828972,18.640963,73.938972,windy,low,3,snack,motorcycle,0.0,no,metropolitian,19.0,PUNE,16.85,3,4,Sunday,1,15.0,23.0,night
HYDRES19DEL03 ,25.0,4.8,17.458998,78.500366,17.488998,78.530366,cloudy,low,2,snack,scooter,1.0,no,urban,19.0,HYD,4.61,26,3,Saturday,1,15.0,23.0,night
MUMRES14DEL02 ,23.0,4.8,19.1813,72.836191,19.3113,72.966191,windy,low,3,meal,motorcycle,0.0,no,metropolitian,17.0,MUM,19.88,16,3,Wednesday,0,10.0,22.0,night
COIMBRES02DEL01 ,25.0,4.6,11.022477,76.995667,11.032477,77.005667,stormy,low,1,snack,motorcycle,1.0,no,urban,15.0,COIMB,1.56,3,1,Monday,0,15.0,10.0,morning
INDORES05DEL02 ,24.0,4.3,22.727021,75.884167,22.747021,75.904167,sandstorms,low,3,meal,motorcycle,0.0,no,urban,19.0,INDO,3.03,15,3,Tuesday,0,15.0,8.0,morning
BANGRES03DEL03 ,27.0,4.6,12.979166,77.640709,13.069166,77.730709,sandstorms,jam,3,buffet,motorcycle,1.0,no,metropolitian,29.0,BANG,13.97,3,4,Sunday,1,15.0,21.0,evening
MUMRES11DEL01 ,23.0,4.8,18.994237,72.825553,19.104237,72.935553,cloudy,low,1,snack,scooter,1.0,no,urban,22.0,MUM,16.83,18,3,Friday,0,5.0,22.0,night
MYSRES12DEL02 ,21.0,4.3,12.284747,76.625861,12.414747,76.755861,fog,jam,2,drinks,scooter,0.0,no,metropolitian,42.0,MYS,20.21,23,3,Wednesday,0,10.0,20.0,evening
SURRES09DEL02 ,27.0,4.7,21.175975,72.795503,21.195975,72.815503,sandstorms,low,1,snack,scooter,0.0,no,urban,12.0,SUR,3.04,15,3,Tuesday,0,15.0,10.0,morning
COIMBRES12DEL02 ,32.0,4.2,11.000762,76.981876,11.130762,77.111876,cloudy,jam,2,snack,motorcycle,1.0,no,metropolitian,38.0,COIMB,20.25,3,8,Wednesday,0,10.0,20.0,evening
SURRES08DEL01 ,25.0,4.6,21.173343,72.792731,21.283343,72.902731,sunny,low,3,drinks,motorcycle,1.0,no,metropolitian,23.0,SUR,16.72,3,10,Monday,0,15.0,23.0,night
KNPRES05DEL02 ,39.0,4.7,26.479108,80.315042,26.499108,80.335042,cloudy,low,2,meal,scooter,0.0,no,metropolitian,15.0,KNP,2.98,2,11,Wednesday,0,15.0,10.0,morning
SURRES05DEL02 ,27.0,4.6,21.175104,72.804342,21.255104,72.884342,sunny,low,3,snack,motorcycle,1.0,no,metropolitian,24.0,SUR,12.16,14,3,Monday,0,5.0,23.0,night
MUMRES15DEL01 ,39.0,3.8,19.176269,72.836721,19.286269,72.946721,windy,jam,2,drinks,motorcycle,0.0,no,metropolitian,37.0,MUM,16.82,16,3,Wednesday,0,5.0,19.0,evening
BANGRES15DEL02 ,31.0,4.8,12.975377,77.696664,13.025377,77.746664,sandstorms,low,2,snack,scooter,0.0,no,metropolitian,24.0,BANG,7.76,3,1,Monday,0,10.0,22.0,night
RANCHIRES11DEL03 ,31.0,4.8,23.359194,85.325447,23.419194,85.385447,sunny,low,1,buffet,electric_scooter,0.0,no,metropolitian,13.0,RANCHI,9.06,3,1,Monday,0,5.0,23.0,night
MYSRES08DEL01 ,20.0,4.8,12.297954,76.665169,12.307954,76.675169,cloudy,low,3,drinks,motorcycle,0.0,no,,16.0,MYS,1.55,30,3,Wednesday,0,15.0,9.0,morning
RANCHIRES07DEL02 ,36.0,4.9,23.359407,85.325055,23.439407,85.405055,cloudy,medium,3,drinks,motorcycle,1.0,no,urban,42.0,RANCHI,12.07,3,2,Thursday,0,10.0,18.0,evening
RANCHIRES01DEL03 ,20.0,4.9,23.416792,85.316842,23.506792,85.406842,sandstorms,low,3,meal,motorcycle,1.0,no,metropolitian,17.0,RANCHI,13.58,20,3,Sunday,1,10.0,22.0,night
JAPRES17DEL03 ,24.0,4.6,26.892312,75.806896,26.922313,75.836896,cloudy,jam,3,drinks,motorcycle,0.0,no,metropolitian,25.0,JAP,4.47,4,3,Friday,0,15.0,20.0,evening
VADRES06DEL01 ,,,22.31279,73.170283,22.42279,73.280283,,,0,snack,electric_scooter,0.0,no,metropolitian,25.0,VAD,16.66,4,2,Friday,0,,,
INDORES14DEL01 ,39.0,4.2,22.761593,75.886362,22.871593,75.996362,fog,medium,2,snack,scooter,0.0,no,metropolitian,39.0,INDO,16.63,29,3,Tuesday,0,5.0,18.0,evening
COIMBRES17DEL01 ,37.0,4.8,11.026117,76.944652,11.066117,76.984652,sunny,high,1,meal,scooter,0.0,no,metropolitian,18.0,COIMB,6.23,17,3,Thursday,0,10.0,14.0,afternoon
CHENRES11DEL01 ,32.0,4.9,13.064181,80.236442,13.104181,80.276442,sandstorms,medium,1,drinks,motorcycle,1.0,no,metropolitian,28.0,CHEN,6.21,17,3,Thursday,0,10.0,16.0,afternoon
KNPRES17DEL02 ,22.0,4.5,26.483042,80.317833,26.533042,80.367833,sandstorms,low,2,drinks,scooter,1.0,no,metropolitian,18.0,KNP,7.46,15,2,Tuesday,0,15.0,22.0,night
COIMBRES12DEL02 ,23.0,4.9,11.000762,76.981876,11.130762,77.111876,windy,low,2,meal,scooter,0.0,no,metropolitian,18.0,COIMB,20.25,18,3,Friday,0,15.0,0.0,
RANCHIRES04DEL01 ,33.0,4.7,23.359033,85.325347,23.469033,85.435347,fog,jam,2,snack,scooter,1.0,no,metropolitian,49.0,RANCHI,16.6,3,8,Wednesday,0,10.0,21.0,evening
KOLRES17DEL03 ,23.0,,22.569358,88.433452,22.599358,88.463452,sunny,low,3,drinks,motorcycle,0.0,no,metropolitian,15.0,KOL,4.54,17,2,Thursday,0,10.0,23.0,night
BANGRES19DEL02 ,27.0,4.6,12.914264,77.6784,12.994264,77.7584,sunny,low,3,drinks,motorcycle,1.0,no,metropolitian,21.0,BANG,12.42,31,3,Thursday,0,5.0,23.0,night
MUMRES17DEL01 ,34.0,4.7,19.121999,72.908493,19.161999,72.948493,sunny,high,1,snack,scooter,0.0,no,metropolitian,23.0,MUM,6.12,3,1,Monday,0,15.0,14.0,afternoon
SURRES14DEL01 ,26.0,5.0,21.157729,72.768726,21.167729,72.778726,fog,low,1,meal,scooter,1.0,no,urban,11.0,SUR,1.52,4,3,Friday,0,10.0,10.0,morning
VADRES14DEL03 ,31.0,4.6,22.311603,73.165012,22.371603,73.225012,cloudy,jam,3,snack,motorcycle,0.0,no,metropolitian,25.0,VAD,9.09,24,3,Thursday,0,15.0,21.0,evening
PUNERES09DEL02 ,32.0,4.9,18.536562,73.896485,18.556562,73.916485,fog,low,1,snack,motorcycle,0.0,no,metropolitian,18.0,PUNE,3.06,3,7,Sunday,1,5.0,8.0,morning
INDORES19DEL02 ,27.0,4.7,22.745536,75.893106,22.765536,75.913106,cloudy,low,2,buffet,motorcycle,0.0,no,metropolitian,14.0,INDO,3.03,3,9,Saturday,1,5.0,9.0,morning
